drug_name,medical_condition,side_effects,generic_name,drug_classes,activity,rx_otc,pregnancy_category,related_drugs
DOK,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: pounding heartbeats or fluttering in your chest; a light-headed feeling, like you might pass out; rectal bleeding or irritation; numbness or a rash around your rectum; vomiting, severe diarrhea or stomach cramps; or continued constipation, or no bowel movement. Common DOK side effects may include: dizziness , weakness; gas, bloating , mild diarrhea; rectal irritation; or sweating.",docusate,Laxatives,8%,RX/OTC,N,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
Fleet Enema,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. The medicine may cause serious side effects. Stop using the medicine and call your doctor at once if you have: no bowel movement within 30 minutes after use; rectal bleeding or bright red bowel movements; or dehydration symptoms-- dizziness , vomiting, thirst, little or no urinating. Common side effects of Fleet Enema may include: rectal discomfort.",sodium biphosphate and sodium phosphate,Laxatives,8%,RX/OTC,C,
GlycoLax,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop taking GlycoLax and call your doctor at once if you have: severe or bloody diarrhea ; rectal bleeding ; blood in your stools; or severe and worsening stomach pain. Common side effects of GlycoLax may include: bloating , gas, upset stomach ; dizziness ; or increased sweating.",polyethylene glycol 3350,Laxatives,8%,RX/OTC,C,erythromycin|MiraLAX|Colace|docusate|lactulose|bisacodyl|senna|magnesium oxide|polyethylene glycol 3350|Dulcolax
psyllium,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Psyllium may cause serious side effects. Stop using psyllium and call your doctor at once if you have: constipation that lasts longer than 7 days; rectal bleeding ; or severe stomach pain. Common side effects of psyllium may include: bloating ; or minor change in your bowel habits.",psyllium,Laxatives,8%,OTC,N,dicyclomine|MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide|Bentyl|Metamucil|hyoscyamine
Surfak,Constipation,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Surfak side effects",Docusate Capsules and Tablets,Laxatives,7%,RX/OTC,N,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
Enemeez Mini,Constipation,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Rectal irritation. Enemeez Mini side effects",Docusate Enema,Laxatives,6%,RX/OTC,N,
Bisa-Lax,Constipation,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Bisa-Lax side effects",Bisacodyl Suppositories,Laxatives,5%,OTC,B,
ClearLax,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop taking ClearLax and call your doctor at once if you have: severe or bloody diarrhea ; rectal bleeding ; blood in your stools; or severe and worsening stomach pain. Common side effects of ClearLax may include: bloating , gas, upset stomach ; dizziness ; or increased sweating.",polyethylene glycol 3350,Laxatives,5%,RX/OTC,C,erythromycin|MiraLAX|Colace|docusate|lactulose|bisacodyl|senna|magnesium oxide|polyethylene glycol 3350|Dulcolax
Colace Micro-Enema,Constipation,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Rectal irritation. Colace Micro-Enema side effects",Docusate Enema,Laxatives,5%,RX/OTC,N,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
Correctol,Constipation,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Correctol side effects",Bisacodyl Tablets,Laxatives,5%,OTC,B,
Diocto,Constipation,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Diocto side effects",Docusate Liquid and Syrup,Laxatives,5%,RX/OTC,N,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
Fleet Bisacodyl,Constipation,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Fleet Bisacodyl side effects",Bisacodyl Enema,Laxatives,5%,OTC,B,erythromycin|MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide|polyethylene glycol 3350|Dulcolax
Phillips' Cramp-free,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Phillips' Cramp-free and call your doctor at once if you have: rectal bleeding ; coughing up blood or vomit that looks like coffee grounds; bloody or tarry stools; or no bowel movement after using Phillips' Cramp-free as a laxative. Common side effects of Phillips' Cramp-free may include: diarrhea ; or upset stomach .",magnesium oxide,Minerals and electrolytes,4%,RX/OTC,C,
Citrate of Magnesia,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Citrate of Magnesia may cause serious side effects. Stop using Citrate of Magnesia and call your doctor at once if you have: no bowel movement within 6 hours after taking the medicine; pain with bowel movements, rectal bleeding ; watery diarrhea , nausea, vomiting, severe stomach pain; painful or difficult urination; flushing (warmth, redness, or tingly feeling); a light-headed feeling, like you might pass out; weak or shallow breathing, slow heartbeats; or muscle weakness, increased thirst. Common side effects of Citrate of Magnesia may include: loose stools, diarrhea, stomach cramps; upset stomach ; dizziness ; or increased sweating.",magnesium citrate,Laxatives,3%,RX/OTC,C,
GaviLAX,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop taking GaviLAX and call your doctor at once if you have: severe or bloody diarrhea ; rectal bleeding ; blood in your stools; or severe and worsening stomach pain. Common side effects of GaviLAX may include: bloating , gas, upset stomach ; dizziness ; or increased sweating.",polyethylene glycol 3350,Laxatives,3%,RX/OTC,C,
Gialax,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop taking Gialax and call your doctor at once if you have: severe or bloody diarrhea ; rectal bleeding ; blood in your stools; or severe and worsening stomach pain. Common side effects of Gialax may include: bloating , gas, upset stomach ; dizziness ; or increased sweating.",polyethylene glycol 3350,Laxatives,3%,RX/OTC,C,erythromycin|MiraLAX|Colace|docusate|lactulose|bisacodyl|senna|magnesium oxide|polyethylene glycol 3350|Dulcolax
Mag-Oxide,Constipation,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Severe diarrhea . Mag-Oxide side effects",Magnesium Oxide,Minerals and electrolytes,3%,RX/OTC,C,omeprazole|famotidine|pantoprazole|Nexium|Protonix|esomeprazole|MiraLAX|sucralfate|Pepcid|Colace
PEG3350,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop taking PEG3350 and call your doctor at once if you have: severe or bloody diarrhea ; rectal bleeding ; blood in your stools; or severe and worsening stomach pain. Common side effects of PEG3350 may include: bloating , gas, upset stomach ; dizziness ; or increased sweating.",polyethylene glycol 3350,Laxatives,3%,RX/OTC,C,erythromycin|MiraLAX|Colace|docusate|lactulose|bisacodyl|senna|magnesium oxide|polyethylene glycol 3350|Dulcolax
Purelax,Constipation,,polyethylene glycol 3350,Laxatives,3%,RX/OTC,C,
SunMark ClearLax,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop taking SunMark ClearLax and call your doctor at once if you have: severe or bloody diarrhea ; rectal bleeding ; blood in your stools; or severe and worsening stomach pain. Common side effects of SunMark ClearLax may include: bloating , gas, upset stomach ; dizziness ; or increased sweating.",polyethylene glycol 3350,Laxatives,3%,RX/OTC,C,
Uro-Mag,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Uro-Mag may cause serious side effects. Stop using Uro-Mag and call your doctor at once if you have: rectal bleeding ; coughing up blood or vomit that looks like coffee grounds; bloody or tarry stools; or no bowel movement after using Uro-Mag as a laxative. Common side effects of Uro-Mag may include: diarrhea ; or upset stomach .",magnesium oxide,Minerals and electrolytes,3%,RX/OTC,C,omeprazole|famotidine|pantoprazole|Nexium|Protonix|esomeprazole|MiraLAX|sucralfate|Pepcid|Colace
Citroma,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Citroma may cause serious side effects. Stop using Citroma and call your doctor at once if you have: no bowel movement within 6 hours after taking the medicine; pain with bowel movements, rectal bleeding ; watery diarrhea , nausea, vomiting, severe stomach pain; painful or difficult urination; flushing (warmth, redness, or tingly feeling); a light-headed feeling, like you might pass out; weak or shallow breathing, slow heartbeats; or muscle weakness, increased thirst. Common side effects of Citroma may include: loose stools, diarrhea, stomach cramps; upset stomach ; dizziness ; or increased sweating.",magnesium citrate,Laxatives,2%,RX/OTC,C,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
glycerin,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Glycerin rectal may cause serious side effects. Stop using glycerin rectal and call your doctor at once if you have: severe stomach pain or cramping; rectal bleeding; or no bowel movement within 1 hour after use. Common side effects of glycerin may include: loose stools; nausea or stomach discomfort; or rectal pain or burning.",glycerin,Laxatives,2%,RX/OTC,C,benzonatate|Benadryl|diphenhydramine|guaifenesin|MiraLAX|Colace|Mucinex|dextromethorphan|docusate|bisacodyl
Hydrocil,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Hydrocil may cause serious side effects. Stop using Hydrocil and call your doctor at once if you have: constipation that lasts longer than 7 days; rectal bleeding ; or severe stomach pain. Common side effects of Hydrocil may include: bloating ; or minor change in your bowel habits.",psyllium,Laxatives,2%,OTC,N,
Konsyl,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Konsyl may cause serious side effects. Stop using Konsyl and call your doctor at once if you have: constipation that lasts longer than 7 days; rectal bleeding ; or severe stomach pain. Common side effects of Konsyl may include: bloating ; or minor change in your bowel habits.",psyllium,Laxatives,2%,OTC,N,dicyclomine|MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide|Bentyl|Metamucil|hyoscyamine
methylcellulose,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Methylcellulose may cause serious side effects. Call your doctor at once if you have: severe stomach cramps, rectal bleeding ; or no bowel movement within 3 days after using methylcellulose.",methylcellulose,Laxatives,2%,RX/OTC,N,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
Reguloid,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Reguloid may cause serious side effects. Stop using Reguloid and call your doctor at once if you have: constipation that lasts longer than 7 days; rectal bleeding ; or severe stomach pain. Common side effects of Reguloid may include: bloating ; or minor change in your bowel habits.",psyllium,Laxatives,2%,OTC,N,dicyclomine|MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide|Bentyl|Metamucil|hyoscyamine
sodium biphosphate / sodium phosphate,Constipation,"hives ; dizziness ; wheezing, difficult breathing; swelling of your face, lips, tongue, or throat. sodium biphosphate and sodium phosphate may cause serious side effects. Stop using sodium biphosphate and sodium phosphate and call your doctor at once if you have: no bowel movement after using this medicine; severe stomach pain, rectal bleeding or bright red bowel movements; fast, slow, or uneven heart rate; little or no urination; a seizure (black-out or convulsions); or headache , dizziness, and vomiting . Common side effects of sodium biphosphate and sodium phosphate may include: bloating ; nausea , vomiting; or stomach pain.",sodium biphosphate and sodium phosphate,Laxatives,2%,RX/OTC,C,erythromycin|MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide|polyethylene glycol 3350|Dulcolax
Disposable Enema,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. The medicine may cause serious side effects. Stop using the medicine and call your doctor at once if you have: no bowel movement within 30 minutes after use; rectal bleeding or bright red bowel movements; or dehydration symptoms-- dizziness , vomiting, thirst, little or no urinating. Common side effects of Disposable Enema may include: rectal discomfort.",sodium biphosphate and sodium phosphate,Laxatives,1%,RX/OTC,C,erythromycin|MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide|polyethylene glycol 3350|Dulcolax
Equalactin,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Equalactin may cause serious side effects. Call your doctor at once if you have: severe stomach cramps, rectal bleeding ; or no bowel movement within 3 days after using Equalactin. Common side effects of Equalactin may include: mild stomach pain; bloating ; or gas.",polycarbophil,Laxatives,1%,OTC,N,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
Fiber Lax,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Fiber Lax may cause serious side effects. Call your doctor at once if you have: severe stomach cramps, rectal bleeding ; or no bowel movement within 3 days after using Fiber Lax. Common side effects of Fiber Lax may include: mild stomach pain; bloating ; or gas.",polycarbophil,Laxatives,1%,OTC,N,
Fiber Laxative,Constipation,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Chest pain or pressure. Upset stomach or throwing up. Trouble swallowing. Trouble breathing. Belly pain. Fiber Laxative side effects",Polycarbophil Tablets,Laxatives,1%,OTC,N,
Fleet Glycerin Suppositories Adult,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Fleet Glycerin Suppositories Adult rectal may cause serious side effects. Stop using Fleet Glycerin Suppositories Adult rectal and call your doctor at once if you have: severe stomach pain or cramping; rectal bleeding; or no bowel movement within 1 hour after use. Common side effects of Fleet Glycerin Suppositories Adult may include: loose stools; nausea or stomach discomfort; or rectal pain or burning.",glycerin,Laxatives,1%,RX/OTC,C,
Fleet Phospho Soda,Constipation,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Bloating stomach pain Incidence not known Agitation bloody or cloudy urine burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings confusion cough decrease in the frequency or amount of urine decreased awareness or responsiveness depression difficult or labored breathing difficult or painful urination difficulty with swallowing dizziness fainting fast, slow, or irregular heartbeat headache hives, itching, skin rash hostility increased blood pressure increased thirst irritability large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals loss of appetite loss of consciousness lower back or side pain muscle twitching nausea noisy breathing puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue rapid weight gain redness of the skin seizures severe sleepiness sudden decrease in the amount of urine swelling of the face, ankles, or hands tightness in the chest unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness vomiting Symptoms of overdose Blurred vision chest pain or discomfort decreased frequency of urine dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position dry mouth increase in heart rate increased thirst lightheadedness loss of appetite lower back or side pain muscle cramps in the hands, arms, feet, legs, or face muscle pain pounding or rapid pulse rapid breathing restlessness stomach cramps sunken eyes sweating tremor weakness weight gain wrinkled skin Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Fleet Phospho Soda side effects",sodium phosphate dibasic and sodium phosphate monobasic,Laxatives,1%,RX/OTC,C,erythromycin|MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide|polyethylene glycol 3350|Dulcolax
mineral oil,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mineral oil may cause serious side effects. Stop using mineral oil and call your doctor at once if you have: no bowel movement after use; rectal bleeding ; blood in your stools; or severe and worsening stomach pain, cramping, or bloating . Common side effects of mineral oil may include: mild diarrhea ; gas; or stomach cramps.",mineral oil,Laxatives,1%,RX/OTC,N,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
Natural Fiber Therapy,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Natural Fiber Therapy may cause serious side effects. Stop using Natural Fiber Therapy and call your doctor at once if you have: constipation that lasts longer than 7 days; rectal bleeding ; or severe stomach pain. Common side effects of Natural Fiber Therapy may include: bloating ; or minor change in your bowel habits.",psyllium,Laxatives,1%,OTC,N,dicyclomine|MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide|Bentyl|Metamucil|hyoscyamine
OsmoPrep,Constipation,"hives ; dizziness ; wheezing, difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: no bowel movement after using this medicine; severe stomach pain, rectal bleeding or bright red bowel movements; fast, slow, or uneven heart rate; little or no urination; a seizure (black-out or convulsions); or headache , dizziness, and vomiting . Common OsmoPrep side effects may include: bloating ; nausea , vomiting; or stomach pain.",sodium biphosphate and sodium phosphate,Laxatives,1%,RX/OTC,C,
Pedia-Lax Chewable Tablets,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Pedia-Lax Chewable may cause serious side effects. Stop using Pedia-Lax Chewable and call your doctor at once if you have: severe nausea , vomiting , or diarrhea; no bowel movement after using the medicine as a laxative; rectal bleeding ; or worsening symptoms. Common side effects of Pedia-Lax Chewable may include: diarrhea; or a decreased sense of taste.",magnesium hydroxide,Antacids|Laxatives,1%,RX/OTC,N,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
Pedia-Lax Liquid Glycerin Suppositories,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Pedia-Lax Liquid may cause serious side effects. Stop using Pedia-Lax Liquid and call your doctor at once if you have: severe stomach pain or cramping; rectal bleeding; or no bowel movement within 1 hour after use. Common side effects of Pedia-Lax Liquid may include: loose stools; nausea or stomach discomfort; or rectal pain or burning.",glycerin,Laxatives,1%,RX/OTC,C,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
polycarbophil,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Polycarbophil may cause serious side effects. Call your doctor at once if you have: severe stomach cramps, rectal bleeding ; or no bowel movement within 3 days after using polycarbophil. Common side effects of polycarbophil may include: mild stomach pain; bloating ; or gas.",polycarbophil,Laxatives,1%,OTC,N,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
Sani-Supp,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Sani-Supp may cause serious side effects. Stop using Sani-Supp and call your doctor at once if you have: severe stomach pain or cramping; rectal bleeding; or no bowel movement within 1 hour after use. Common side effects of Sani-Supp may include: loose stools; nausea or stomach discomfort; or rectal pain or burning.",glycerin,Laxatives,1%,RX/OTC,C,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
sorbitol,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using sorbitol and call your doctor at once if you have a serious side effect such as: severe stomach cramps; vomiting; severe diarrhea; rectal bleeding ; black, bloody, or tarry stools; weakness, dizziness ; or frequent urge to have a bowel movement. Less serious side effects may include: gas, mild nausea or stomach cramps; or rectal irritation.",sorbitol,Laxatives,1%,RX/OTC,N,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
benzocaine / docusate,Constipation,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Rectal irritation. Benzocaine / docusate topical side effects",Benzocaine and Docusate,Laxatives,0%,RX/OTC,N,
Fibertab,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Fibertab may cause serious side effects. Call your doctor at once if you have: severe stomach cramps, rectal bleeding ; or no bowel movement within 3 days after using Fibertab. Common side effects of Fibertab may include: mild stomach pain; bloating ; or gas.",polycarbophil,Laxatives,0%,OTC,N,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
Fleet Glycerin Suppositories Pediatric,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Fleet Glycerin Suppositories Pediatric rectal may cause serious side effects. Stop using Fleet Glycerin Suppositories Pediatric rectal and call your doctor at once if you have: severe stomach pain or cramping; rectal bleeding; or no bowel movement within 1 hour after use. Common side effects of Fleet Glycerin Suppositories Pediatric may include: loose stools; nausea or stomach discomfort; or rectal pain or burning.",glycerin,Laxatives,0%,RX/OTC,C,MiraLAX|Colace|docusate|bisacodyl|senna|magnesium oxide
potassium phosphate,Constipation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your caregivers right away if you have any signs of electrolyte imbalance, such as: confusion, severe weakness; a light-headed feeling, like you might pass out; nausea , chest pain, irregular heartbeats; numbness or tingling in your arms or legs; weakness or heavy feeling in your legs; loss of movement in any part of your body; or slow heart rate , weak pulse, fainting, slow breathing.",potassium phosphate,Minerals and electrolytes,0%,RX/OTC,C,MiraLAX|Colace|docusate|ergocalciferol|bisacodyl|acetylcysteine|senna|magnesium oxide|ascorbic acid|biotin
Symbicort,COPD,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: worsened breathing problems; sores or white patches in your mouth and throat, pain when swallowing; tremors, nervousness, chest pain, fast or pounding heartbeats; cough with mucus, feeling short of breath; wheezing, choking, or other breathing problems after using this medication; blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights; flu symptoms - fever, chills, body aches, unusual tiredness; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level - leg cramps, constipation , irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling; or signs of a hormonal disorder - tiredness or weakness, feeling light-headed, nausea , vomiting . Budesonide can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Common Symbicort side effects may include: throat pain or irritation; white patches in your mouth or throat; stomach discomfort, vomiting; back pain , headache ; flu symptoms; or cold symptoms such as stuffy or runny nose , sneezing, sinus pain, sore throat .",budesonide and formoterol,Bronchodilator combinations,95%,RX,C,
Breztri Aerosphere,COPD,"Breztri Aerosphere can cause serious side effects, including: fungal infection in your mouth or throat (thrush). Rinse your mouth with water without swallowing after using Breztri Aerosphere to help reduce your chance of getting thrush. pneumonia. People with COPD have a higher chance of getting pneumonia. Breztri Aerosphere may increase your chance of getting pneumonia. Call your healthcare provider if you notice any of the following symptoms: increase in mucus (sputum) production change in mucus color fever chills increased cough increased breathing problems weakened immune system and increased chance of getting infections (immunosuppression). reduced adrenal function (adrenal insufficiency). Adrenal insufficiency is a condition where the adrenal glands do not make enough steroid hormones. This can happen when you stop taking oral corticosteroid medicines (such as prednisone) and start taking a medicine containing an ICS (such as Breztri Aerosphere). During this transition period, when your body is under stress from fever, trauma (such as a car accident), infection, surgery, or worse COPD symptoms, adrenal insufficiency can get worse and may cause death. Symptoms of adrenal insufficiency include: feeling tired lack of energy weakness nausea and vomiting low blood pressure (hypotension) sudden breathing problems immediately after inhaling your medicine. If you have sudden breathing problems immediately after inhaling your medicine, stop taking Breztri Aerosphere and call your healthcare provider right away. serious allergic reactions. Call your healthcare provider or get emergency medical care if you get any of the following symptoms of a serious allergic reaction: rash hives swelling of your face, mouth, and tongue breathing problems effects on your heart. increased blood pressure a fast or irregular heartbeat chest pain effects on your nervous system. tremor nervousness bone thinning or weakness (osteoporosis). new or worsened eye problems including acute narrow-angle glaucoma and cataracts. Acute narrow-angle glaucoma can cause permanent loss of vision if not treated. Symptoms of acute narrow-angle glaucoma may include: eye pain or discomfort nausea or vomiting blurred vision seeing halos or bright colors around lights red eyes If you have these symptoms, call your healthcare provider right away before taking another dose. urinary retention. People who take Breztri Aerosphere may develop new or worsening urinary retention. Symptoms of urinary retention may include: difficulty urinating urinating frequently painful urination urination in a weak stream or drips If you have these symptoms of urinary retention, stop taking Breztri Aerosphere and call your healthcare provider right away before taking another dose. changes in laboratory blood values , including high levels of blood sugar (hyperglycemia) and low levels of potassium (hypokalemia). Low levels of potassium may cause symptoms of muscle spasm, muscle weakness, or abnormal heart rhythm. Common side effects include: upper respiratory tract infection pneumonia back pain thrush in your mouth and throat. Rinse your mouth with water without swallowing after use to help prevent this. joint pain flu headache high blood sugar levels muscle spasms cough inflammation of the sinuses diarrhea hoarseness painful and frequent urination (signs of a urinary tract infection) nausea difficulty sleeping feeling anxious awareness of your heart beating (palpitations) Tell your healthcare provider about any side effect that bothers you or that does not go away. These are not all the possible side effects. Ask your healthcare provider or pharmacist for more information. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800- FDA-1088. You may also report side effects to AstraZeneca at 1-800-236-9933. Breztri Aerosphere side effects","budesonide, glycopyrrolate, and formoterol fumarate",Bronchodilator combinations,35%,RX,,
Anoro Ellipta,COPD,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medicine; painful or difficult urination, or urinating more often; blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights; high blood sugar - increased thirst or urination, hunger, dry mouth, fruity breath odor; or low potassium level - leg cramps, constipation , irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling. Common Anoro Ellipta side effects may include: stuffy nose, sinus pain, sore throat ; chest pain, cough; diarrhea , constipation; muscle spasms; or pain in your neck, arms, or legs.",umeclidinium and vilanterol,Bronchodilator combinations,31%,RX,C,Trelegy Ellipta|prednisone|Symbicort|Ventolin|Breo Ellipta|Spiriva|Ventolin HFA|Xopenex|Stiolto Respimat|Bevespi Aerosphere
